avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate
173.0,70,161.3,411.6,48127,43269,18.6,23.11123437,33.0,32.2,33.7,2.34,44.5,6.1,22.4,64.0,7.5,26.0,22.7,55.9,7.8,70.2,53.8,43.6,31.1,15.3,89.22850915,0.969102455,2.246232585,3.741351531,45.37250044,4.333095578
427.0,202,194.8,430.4,44243,75882,17.1,342.6372526,42.8,42.2,43.4,2.52,52.7,20.2,41.2,36.1,2.5,31.6,9.3,48.3,12.1,58.4,40.3,35.0,45.3,25.0,91.74468649,0.782625968,1.16135867,1.362643183,51.02151448,4.603840773
57.0,26,144.4,350.1,49955,10321,12.5,0.0,48.3,47.8,48.9,2.34,57.8,14.9,43.0,40.0,2.0,33.4,15.0,48.2,4.8,61.6,43.9,35.1,44.0,22.7,94.10402393,0.270192029,0.665830358,0.492135482,54.02745995,6.796657382
146.0,71,183.6,404.0,40189,20848,17.8,0.0,51.7,50.8,52.5,2.24,52.7,27.3,33.9,36.5,2.2,31.6,11.3,40.9,8.9,55.8,33.1,25.9,50.9,24.1,89.40663599,0.305158634,1.889077258,2.286267861,48.96703297,5.889178996
2265.0,901,171.0,440.7,50083,490945,16.3,462.3735856,37.2,35.7,38.7,2.45,49.4,10.9,29.3,51.2,8.6,25.7,18.1,55.1,8.4,65.2,50.6,42.5,36.5,21.4,89.03816718,1.827041461,2.315985625,1.03362505,48.18837711,5.355835918
1390.0,483,169.9,495.9,61653,269536,11.9,207.7644545,38.5,37.1,39.9,2.52,52.4,14.8,31.7,46.2,7.4,22.7,20.3,56.5,8.5,74.5,55.4,43.5,30.7,13.7,82.58622199,2.839873174,5.83580425,1.226386727,50.87449211,5.180155167
32.0,12,153.8,463.2,51022,4042,13.9,0.0,52.1,51.5,53.1,2.31,53.5,37.2,20.8,37.8,4.2,33.1,10.1,35.7,10.6,64.7,38.6,35.2,49.7,20.4,92.96158612,0.123915737,1.140024783,0.0,53.37995338,0.535475234
94.0,41,189.7,445.2,35615,16704,21.5,0.0,41.5,40.9,42.1,2.68,52.0,9.8,36.1,45.8,8.3,47.1,7.9,46.5,9.0,55.6,40.1,36.5,44.8,26.4,96.84418146,0.836770068,0.37654653,0.029884645,55.28885946,2.292860865
25.0,19,185.6,234.0,41838,8176,17.4,0.0,43.7,41.8,45.5,2.85,45.8,26.2,61.7,10.1,1.9,44.3,8.8,41.0,6.5,55.2,37.7,35.5,45.2,25.4,96.67113767,1.085233508,0.085355444,0.0,53.92670157,6.016466118
58.0,22,128.0,356.3,41039,11766,17.0,0.0,45.6,45.5,45.7,0.028,50.5,16.3,41.5,33.8,8.4,50.2,7.0,51.3,6.7,65.1,48.0,44.5,42.4,21.2,97.37621667,1.379602201,0.0,0.110029623,55.4011976,3.528435035
250.0,103,195.1,494.9,36996,35516,21.1,0.0,45.3,44.6,46.7,2.28,52.2,22.4,36.6,27.8,13.3,44.0,11.2,48.2,7.2,61.9,43.3,39.1,43.0,22.1,94.14288118,2.299108395,0.38692312,0.42617619,47.48027903,4.354354354
449.0,192,206.7,506.6,42121,68714,13.9,160.0838257,42.0,40.5,43.5,2.48,52.4,17.7,38.6,34.2,9.5,39.5,13.5,53.0,7.4,64.0,47.3,44.0,39.5,21.3,95.67378765,1.820342619,0.526102206,0.155076959,49.69820377,5.060383303
182.0,78,194.2,475.8,41121,29237,16.7,0.0,42.6,41.2,44.1,2.62,54.5,13.7,41.2,35.9,9.2,41.1,11.7,46.8,6.8,66.9,48.8,45.6,40.6,21.3,97.40224228,0.66311184,0.201668034,0.061525841,55.45062062,4.735242361
245.0,101,178.2,423.7,66950,56482,10.2,0.0,39.7,39.9,39.3,2.65,53.3,14.1,24.5,55.3,6.2,32.1,18.2,60.3,8.4,73.3,58.6,53.8,29.2,14.6,88.24211251,6.96562466,1.622776832,0.56688521,54.09965078,4.995519713
139.0,60,226.9,513.2,34295,21415,24.4,46.69624095,41.9,41.4,42.8,2.69,50.6,16.9,50.7,27.2,5.2,43.4,5.7,42.2,10.1,51.7,34.3,31.7,52.6,31.6,98.32560297,0.477736549,0.269016698,0.0,52.9271954,2.635983264
170.0,76,198.4,456.6,40012,27451,16.1,0.0,43.2,42.1,44.4,2.4,44.2,9.5,48.4,37.3,4.8,50.2,8.5,47.0,8.8,58.6,45.1,41.6,39.4,23.3,94.81534859,3.145379211,0.299045217,0.169338858,42.97381269,7.391231312
382.0,132,155.9,444.5,43835,104236,22.5,95.9361449,30.0,28.5,31.3,2.56,37.2,3.5,23.8,58.2,14.5,29.9,20.6,55.4,5.8,76.5,63.8,57.1,23.3,12.4,90.57717276,3.597002007,3.150450486,0.353110123,40.42122317,4.001671717
86.0,39,190.7,434.6,36351,13506,19.3,0.0,46.6,45.4,48.3,2.3,56.8,10.6,42.0,47.0,0.3,49.4,8.7,48.0,7.3,60.5,40.4,36.6,45.2,23.7,97.65619224,0.695009242,0.0,0.0,53.16042597,6.07651913
